대학ID,학년도,제목,파일
85,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256843&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000254&searchSyr=2027
86,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000253081&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000115&searchSyr=2027
87,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243067&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000222&searchSyr=2027
88,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255051&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000116&searchSyr=2027
89,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255108&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000117&searchSyr=2027
90,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256680&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000119&searchSyr=2027
91,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255100&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000120&searchSyr=2027
92,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242903&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000121&searchSyr=2027
93,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243124&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000036&searchSyr=2027
94,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256817&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000255&searchSyr=2027
95,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242984&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000098&searchSyr=2027
96,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243332&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000019&searchSyr=2027
97,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243049&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000125&searchSyr=2027
